D6	0.078125
D4	0.0703125
H3	0.0625
D7	0.0546875
A3D4	0.046875
H2D2	0.0390625
A4D4	0.0390625
H3D1	0.03125
H2	0.03125
A5D2	0.03125
A1D6	0.03125
A7D1	0.03125
D8	0.0234375
D7A1	0.0234375
H1D4	0.0234375
H3D2	0.015625
A3D6	0.015625
A1D6A1	0.015625
D4A2	0.015625
H2D3	0.015625
A5D1	0.015625
A8	0.015625
H4	0.015625
A6D2	0.015625
A3D3	0.015625
H1D6	0.015625
A6	0.0078125
D4H2	0.0078125
A1D4	0.0078125
H2D4	0.0078125
A2D3A2	0.0078125
A6D1	0.0078125
A7	0.0078125
D3A3	0.0078125
A1D2A2D2H1	0.0078125
A4	0.0078125
A11	0.0078125
A5D3	0.0078125
D10A1	0.0078125
D6A1	0.0078125
A3Y1	0.0078125
A7D3	0.0078125
H4D1	0.0078125
A4D2	0.0078125
H1D2H1D2	0.0078125
A8D2	0.0078125
A2D4	0.0078125
A6D4	0.0078125
D2A4D1A1	0.0078125
A1D7	0.0078125
H1D1H1D1H1	0.0078125
A14	0.0078125
D6A2	0.0078125
