D4	0.136986301369863
D6	0.1004566210045662
D2	0.091324200913242
A1	0.0776255707762557
D1	0.0684931506849315
H3	0.0639269406392694
H2	0.0593607305936073
A3	0.0547945205479452
D7	0.0502283105022831
H1	0.0502283105022831
D3	0.0365296803652968
A4	0.0365296803652968
A5	0.0319634703196347
A2	0.0319634703196347
A7	0.0273972602739726
A6	0.0228310502283105
D8	0.0136986301369863
A8	0.0136986301369863
H4	0.0136986301369863
A11	0.0045662100456621
D10	0.0045662100456621
Y1	0.0045662100456621
A14	0.0045662100456621
